#ZVView-data-copy:  21-Dec-2022 12:59:13
#=======================================
#
#name:   TENDL-2021: HO-166(N,G)HO-167
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  6402
#data...
#            X            Y
#          MeV        barns
    1.72394e-5      180.007 
     1.7285e-5       169.57 
    1.73305e-5      160.055 
    1.73761e-5      151.356 
    1.74065e-5      145.966 
    1.74672e-5       136.06 
    1.75258e-5      127.483 
    1.75845e-5      119.743 
    1.76431e-5      112.737 
    1.77017e-5      106.378 
    1.77641e-5      100.229 
    1.78266e-5      94.6458 
     1.7889e-5      89.5603 
    1.79514e-5      84.9165 
    1.80147e-5       80.609 
    1.80781e-5      76.6622 
    1.81414e-5      73.0377 
    1.82368e-5      68.1115 
    1.83331e-5       63.707 
    1.84294e-5      59.7913 
    1.85266e-5      56.2659 
    1.86243e-5      53.0979 
     1.8722e-5      50.2553 
    1.88207e-5      47.6701 
    1.89195e-5       45.341 
    1.90188e-5      43.2255 
    1.91193e-5      41.2903 
    1.92532e-5      38.9892 
    1.93622e-5      37.3226 
    1.94968e-5      35.4879 
    1.96317e-5      33.8647 
    1.97679e-5      32.4171 
    1.99313e-5      30.9001 
    2.00913e-5      29.6166 
    2.02854e-5      28.2908 
     2.0476e-5      27.2011 
    2.06927e-5      26.1825 
    2.09114e-5      25.3602 
    2.11321e-5      24.7132 
    2.13549e-5      24.2259 
    2.15809e-5      23.8858 
     2.1809e-5      23.6872 
    2.20193e-5      23.6235 
    2.22523e-5       23.684 
    2.24874e-5      23.8789 
    2.27248e-5      24.2123 
    2.29644e-5      24.6923 
    2.32074e-5      25.3321 
    2.34527e-5      26.1445 
    2.37003e-5      27.1493 
    2.39502e-5      28.3726 
    2.42036e-5      29.8555 
    2.43737e-5      31.0047 
    2.45451e-5      32.3044 
    2.47176e-5      33.7736 
    2.48913e-5      35.4361 
    2.50663e-5      37.3209 
    2.52425e-5      39.4627 
      2.542e-5      41.9062 
     2.5554e-5      43.9718 
     2.5688e-5       46.248 
    2.58239e-5      48.7961 
    2.59598e-5      51.6245 
    2.60963e-5      54.7952 
    2.62342e-5      58.3756 
     2.6372e-5      62.3966 
    2.65111e-5      66.9778 
    2.66043e-5      70.3841 
    2.66975e-5      74.0984 
    2.67906e-5      78.1586 
    2.68851e-5      82.6739 
    2.69796e-5      87.6426 
    2.70741e-5      93.1268 
    2.71686e-5      99.1995 
    2.72644e-5      106.048 
    2.73603e-5      113.698 
    2.74321e-5      120.039 
     2.7504e-5      126.967 
    2.75762e-5      134.594 
    2.76491e-5      143.058 
     2.7722e-5      152.393 
    2.77948e-5      162.723 
    2.78677e-5        174.2 
    2.79406e-5      187.007 
    2.80064e-5      199.882 
    2.80722e-5      214.191 
     2.8138e-5      230.151 
    2.81873e-5      243.361 
    2.82318e-5      256.302 
    2.82879e-5      274.185 
     2.8344e-5       294.06 
     2.8386e-5      310.453 
    2.84281e-5      328.286 
    2.84701e-5       347.73 
    2.85122e-5      368.983 
    2.85543e-5      392.274 
    2.85963e-5      417.868 
    2.86384e-5      446.075 
    2.86804e-5      477.257 
    2.87225e-5      511.839 
    2.87645e-5      550.325 
    2.88066e-5      593.311 
    2.88346e-5      624.814 
    2.88627e-5      658.874 
    2.88893e-5       693.85 
    2.89272e-5       748.48 
    2.89524e-5      788.501 
    2.89776e-5      831.752 
    2.90029e-5      878.574 
    2.90281e-5      929.352 
    2.90533e-5      984.522 
    2.90786e-5      1044.58 
    2.91017e-5      1104.39 
    2.91248e-5      1169.26 
     2.9148e-5      1239.73 
    2.91711e-5      1316.41 
    2.91942e-5      1399.96 
     2.9216e-5      1485.39 
     2.9237e-5      1575.13 
     2.9258e-5      1672.51 
     2.9279e-5      1778.29 
    2.93001e-5      1893.27 
    2.93211e-5      2018.33 
    2.93421e-5      2154.39 
    2.93632e-5      2302.42 
    2.93842e-5      2463.39 
    2.94052e-5      2638.28 
    2.94262e-5      2827.99 
    2.94515e-5      3076.32 
    2.94767e-5      3348.16 
    2.95019e-5      3643.86 
    2.95272e-5      3962.92 
    2.95524e-5      4303.58 
    2.95861e-5      4785.49 
    2.96618e-5      5911.18 
    2.96954e-5      6377.37 
    2.97206e-5      6688.04 
    2.97459e-5         6951 
    2.97627e-5      7093.87 
    2.97795e-5      7207.18 
    2.97964e-5      7288.42 
    2.98119e-5      7333.31 
    2.98274e-5      7348.53 
    2.98492e-5      7319.15 
    2.98678e-5      7248.42 
    2.98863e-5      7137.63 
    2.99048e-5      6989.77 
    2.99232e-5      6810.32 
    2.99505e-5      6492.54 
    2.99779e-5      6128.22 
    3.00234e-5      5461.83 
    3.00739e-5      4707.49 
    3.01019e-5      4305.79 
      3.013e-5      3926.48 
     3.0158e-5      3574.07 
     3.0179e-5       3328.8 
    3.02001e-5      3100.18 
    3.02211e-5      2888.02 
    3.02421e-5      2691.82 
    3.02632e-5      2510.83 
    3.02842e-5      2344.18 
    3.03052e-5      2190.93 
    3.03262e-5      2050.09 
    3.03473e-5      1920.67 
